description,category
vacation travel expense,Travel
swiggy order payment,Food
bus ticket transaction,Transport
trip expense transaction,Travel
tea payment,Food
hospital visit expense,Health
salary credited 838,Income
netflix subscription expense,Entertainment
snacks expense,Food
salary credited payment,Income
doctor consultation 929,Health
vegetable market expense,Groceries
doctor consultation 1253,Health
game purchase transaction,Entertainment
ration store expense,Groceries
interest income,Income
refund received transaction,Income
diesel expense,Transport
shopping payment,Shopping
electronics purchase,Shopping
freelance payment,Income
new shoes,Shopping
tea expense,Food
cinema payment,Entertainment
ola cab expense,Transport
new shoes,Shopping
grocery shopping,Groceries
health checkup 2063,Health
internet bill,Utilities
electricity bill,Utilities
medicine purchase expense,Health
water bill 2177,Utilities
shopping transaction,Shopping
metro ticket transaction,Transport
mobile recharge transaction,Utilities
gas station payment,Transport
concert ticket,Entertainment
electronics purchase,Shopping
doctor consultation payment,Health
netflix subscription 4946,Entertainment
concert ticket,Entertainment
trip expense payment,Travel
food delivery 2537,Food
wifi payment,Utilities
spotify premium payment,Entertainment
water bill expense,Utilities
supermarket,Groceries
health checkup,Health
supermarket payment,Groceries
concert ticket,Entertainment
taxi fare,Transport
pharmacy expense,Health
diesel,Transport
movie ticket 4711,Entertainment
health checkup payment,Health
vegetable market payment,Groceries
refund received expense,Income
movie ticket transaction,Entertainment
petrol,Transport
tea 735,Food
movie ticket,Entertainment
breakfast 4303,Food
concert ticket,Entertainment
movie ticket expense,Entertainment
amazon order 140,Shopping
swiggy order,Food
street food payment,Food
restaurant meal,Food
medical bill payment,Health
hotel booking payment,Travel
internet bill,Utilities
internet bill,Utilities
clothes purchase transaction,Shopping
vacation travel payment,Travel
electronics purchase transaction,Shopping
taxi fare payment,Transport
dinner payment,Food
zomato order 809,Food
daily groceries transaction,Groceries
coffee 3952,Food
refund received 2590,Income
medical bill expense,Health
food delivery expense,Food
freelance payment payment,Income
game purchase transaction,Entertainment
electricity bill transaction,Utilities
clothes purchase transaction,Shopping
metro ticket expense,Transport
daily groceries 106,Groceries
pharmacy payment,Health
medical bill 2207,Health
street food,Food
dinner 1623,Food
movie ticket,Entertainment
breakfast,Food
grocery shopping transaction,Groceries
ration store payment,Groceries
electricity bill payment,Utilities
concert ticket,Entertainment
supermarket payment,Groceries
netflix subscription,Entertainment
amazon order payment,Shopping
zomato order payment,Food
concert ticket 1360,Entertainment
electronics purchase payment,Shopping
water bill transaction,Utilities
resort stay payment,Travel
vacation travel 4484,Travel
netflix subscription payment,Entertainment
taxi fare transaction,Transport
health checkup transaction,Health
restaurant meal,Food
tour booking,Travel
vacation travel,Travel
pharmacy expense,Health
game purchase 371,Entertainment
freelance payment 4426,Income
water bill,Utilities
ola cab payment,Transport
electricity bill,Utilities
bus ticket,Transport
netflix subscription expense,Entertainment
fuel refill expense,Transport
vegetable market transaction,Groceries
shopping payment,Shopping
pharmacy,Health
electricity bill payment,Utilities
doctor consultation payment,Health
tour booking 4707,Travel
water bill 3882,Utilities
daily groceries transaction,Groceries
ration store,Groceries
salary credited 275,Income
doctor consultation,Health
amazon order transaction,Shopping
electricity bill expense,Utilities
hospital visit expense,Health
refund received payment,Income
shopping transaction,Shopping
trip expense,Travel
bonus received payment,Income
hotel booking,Travel
netflix subscription,Entertainment
concert ticket,Entertainment
wifi payment expense,Utilities
mobile recharge,Utilities
resort stay 3018,Travel
milk purchase expense,Groceries
breakfast transaction,Food
bus ticket transaction,Transport
daily groceries payment,Groceries
internet bill,Utilities
game purchase 3793,Entertainment
milk purchase,Groceries
resort stay,Travel
ration store 752,Groceries
bonus received expense,Income
dinner 1752,Food
bonus received,Income
electricity bill,Utilities
trip expense payment,Travel
game purchase payment,Entertainment
wifi payment 3861,Utilities
concert ticket 613,Entertainment
clothes purchase payment,Shopping
vegetable market expense,Groceries
tour booking 2529,Travel
salary credited 2054,Income
grocery shopping payment,Groceries
petrol 203,Transport
pizza,Food
freelance payment 1470,Income
vacation travel,Travel
petrol,Transport
water bill,Utilities
vacation travel payment,Travel
health checkup,Health
water bill payment,Utilities
vacation travel,Travel
spotify premium,Entertainment
uber ride,Transport
pizza,Food
cashback received expense,Income
milk purchase,Groceries
milk purchase expense,Groceries
wifi payment,Utilities
vacation travel 3907,Travel
refund received,Income
doctor consultation payment,Health
medicine purchase,Health
electricity bill 414,Utilities
game purchase,Entertainment
bonus received transaction,Income
salary credited transaction,Income
tour booking payment,Travel
spotify premium 3129,Entertainment
doctor consultation,Health
uber ride transaction,Transport
tour booking expense,Travel
vacation travel 1254,Travel
gas bill payment,Utilities
daily groceries 1467,Groceries
grocery shopping 4639,Groceries
metro ticket,Transport
metro ticket,Transport
ration store transaction,Groceries
salary credited transaction,Income
bonus received transaction,Income
supermarket payment,Groceries
trip expense 4714,Travel
freelance payment 4974,Income
doctor consultation payment,Health
shopping,Shopping
salary credited transaction,Income
milk purchase expense,Groceries
movie ticket,Entertainment
doctor consultation 3200,Health
interest income transaction,Income
online shopping,Shopping
hospital visit,Health
daily groceries payment,Groceries
street food payment,Food
wifi payment,Utilities
zomato order payment,Food
netflix subscription,Entertainment
medical bill 3571,Health
dinner expense,Food
medical bill,Health
ola cab expense,Transport
zomato order transaction,Food
swiggy order,Food
movie ticket,Entertainment
concert ticket payment,Entertainment
new shoes 2187,Shopping
supermarket,Groceries
wifi payment 368,Utilities
supermarket expense,Groceries
gas bill,Utilities
metro ticket transaction,Transport
electronics purchase 1404,Shopping
street food expense,Food
salary credited payment,Income
street food expense,Food
movie ticket payment,Entertainment
freelance payment transaction,Income
vegetable market,Groceries
mobile recharge 100,Utilities
medical bill 2113,Health
ration store transaction,Groceries
water bill,Utilities
ration store,Groceries
tour booking,Travel
netflix subscription expense,Entertainment
pharmacy,Health
netflix subscription transaction,Entertainment
refund received payment,Income
mobile recharge 1503,Utilities
movie ticket payment,Entertainment
electricity bill expense,Utilities
train ticket 4375,Transport
netflix subscription transaction,Entertainment
mobile recharge,Utilities
gas bill payment,Utilities
vacation travel,Travel
street food payment,Food
uber ride payment,Transport
bus ticket payment,Transport
interest income,Income
hospital visit,Health
salary credited 4889,Income
wifi payment,Utilities
netflix subscription,Entertainment
pharmacy expense,Health
netflix subscription,Entertainment
electricity bill,Utilities
vegetable market,Groceries
concert ticket transaction,Entertainment
snacks,Food
grocery shopping transaction,Groceries
auto rickshaw payment,Transport
freelance payment 4851,Income
milk purchase payment,Groceries
electronics purchase 2548,Shopping
new shoes payment,Shopping
street food,Food
supermarket 1752,Groceries
hospital visit,Health
electricity bill payment,Utilities
mobile recharge,Utilities
netflix subscription payment,Entertainment
hospital visit,Health
movie ticket transaction,Entertainment
hotel booking,Travel
salary credited,Income
burger,Food
tour booking 3093,Travel
lunch transaction,Food
health checkup transaction,Health
street food payment,Food
cashback received,Income
supermarket,Groceries
electricity bill 4450,Utilities
grocery shopping,Groceries
interest income expense,Income
movie ticket,Entertainment
shopping transaction,Shopping
water bill transaction,Utilities
mall shopping,Shopping
electricity bill,Utilities
gas station payment,Transport
trip expense,Travel
hospital visit payment,Health
internet bill 2336,Utilities
train ticket expense,Transport
vegetable market,Groceries
trip expense transaction,Travel
mall shopping,Shopping
new shoes expense,Shopping
food delivery transaction,Food
clothes purchase,Shopping
hotel booking,Travel
taxi fare transaction,Transport
doctor consultation,Health
water bill 3581,Utilities
vegetable market payment,Groceries
ration store,Groceries
trip expense payment,Travel
doctor consultation 1395,Health
coffee expense,Food
flight ticket payment,Travel
pharmacy,Health
doctor consultation 308,Health
mobile recharge,Utilities
metro ticket 1679,Transport
grocery shopping 3313,Groceries
daily groceries 3085,Groceries
mall shopping,Shopping
doctor consultation,Health
mobile recharge,Utilities
internet bill payment,Utilities
coffee 2498,Food
swiggy order transaction,Food
health checkup,Health
resort stay,Travel
restaurant meal payment,Food
wifi payment payment,Utilities
hospital visit payment,Health
supermarket expense,Groceries
metro ticket payment,Transport
health checkup,Health
taxi fare,Transport
refund received payment,Income
hospital visit 2794,Health
ola cab 2758,Transport
supermarket 3493,Groceries
train ticket expense,Transport
food delivery 3867,Food
diesel,Transport
ration store,Groceries
netflix subscription,Entertainment
game purchase,Entertainment
cashback received transaction,Income
internet bill expense,Utilities
salary credited transaction,Income
internet bill 1689,Utilities
resort stay 3335,Travel
hotel booking expense,Travel
mobile recharge payment,Utilities
diesel transaction,Transport
movie ticket payment,Entertainment
vegetable market transaction,Groceries
new shoes,Shopping
fuel refill,Transport
flipkart order transaction,Shopping
shopping,Shopping
coffee,Food
fuel refill,Transport
mobile recharge expense,Utilities
tour booking,Travel
flipkart order payment,Shopping
clothes purchase 779,Shopping
milk purchase transaction,Groceries
medicine purchase,Health
milk purchase,Groceries
gas bill,Utilities
trip expense expense,Travel
supermarket transaction,Groceries
mall shopping 633,Shopping
burger transaction,Food
medicine purchase,Health
doctor consultation expense,Health
restaurant meal expense,Food
game purchase expense,Entertainment
trip expense 2694,Travel
medicine purchase 1035,Health
shopping,Shopping
medical bill,Health
petrol,Transport
grocery shopping 907,Groceries
netflix subscription payment,Entertainment
restaurant meal expense,Food
game purchase,Entertainment
milk purchase payment,Groceries
bus ticket expense,Transport
spotify premium 704,Entertainment
diesel,Transport
dinner transaction,Food
restaurant meal payment,Food
flight ticket,Travel
spotify premium expense,Entertainment
electronics purchase transaction,Shopping
auto rickshaw payment,Transport
shopping payment,Shopping
food delivery,Food
cashback received,Income
flipkart order expense,Shopping
petrol expense,Transport
salary credited payment,Income
hotel booking expense,Travel
taxi fare expense,Transport
street food 1465,Food
street food expense,Food
gas station payment,Transport
doctor consultation payment,Health
hotel booking payment,Travel
movie ticket,Entertainment
vacation travel,Travel
supermarket expense,Groceries
swiggy order transaction,Food
ola cab payment,Transport
game purchase transaction,Entertainment
grocery shopping expense,Groceries
train ticket transaction,Transport
tour booking payment,Travel
freelance payment transaction,Income
pharmacy expense,Health
electricity bill transaction,Utilities
auto rickshaw transaction,Transport
tea transaction,Food
pizza transaction,Food
medical bill payment,Health
snacks expense,Food
concert ticket,Entertainment
wifi payment expense,Utilities
electronics purchase transaction,Shopping
ola cab transaction,Transport
cashback received expense,Income
supermarket,Groceries
milk purchase expense,Groceries
salary credited,Income
doctor consultation,Health
interest income expense,Income
gas bill expense,Utilities
ola cab,Transport
refund received transaction,Income
hospital visit,Health
food delivery,Food
breakfast 3376,Food
flipkart order payment,Shopping
cashback received expense,Income
mobile recharge expense,Utilities
trip expense expense,Travel
metro ticket,Transport
refund received,Income
netflix subscription transaction,Entertainment
flight ticket expense,Travel
fuel refill payment,Transport
movie ticket expense,Entertainment
vegetable market expense,Groceries
electricity bill expense,Utilities
supermarket,Groceries
zomato order,Food
restaurant meal expense,Food
movie ticket transaction,Entertainment
netflix subscription expense,Entertainment
swiggy order,Food
street food transaction,Food
medicine purchase,Health
medical bill,Health
online shopping 4278,Shopping
flipkart order 795,Shopping
gas station expense,Transport
water bill payment,Utilities
freelance payment 2372,Income
vegetable market payment,Groceries
online shopping 1888,Shopping
spotify premium expense,Entertainment
medical bill,Health
zomato order payment,Food
resort stay,Travel
vegetable market 4246,Groceries
amazon order expense,Shopping
grocery shopping payment,Groceries
movie ticket payment,Entertainment
wifi payment,Utilities
electricity bill transaction,Utilities
tea,Food
spotify premium,Entertainment
water bill expense,Utilities
hospital visit,Health
internet bill,Utilities
breakfast 2290,Food
medicine purchase,Health
salary credited payment,Income
auto rickshaw expense,Transport
mobile recharge transaction,Utilities
doctor consultation payment,Health
daily groceries transaction,Groceries
clothes purchase expense,Shopping
ration store,Groceries
bus ticket payment,Transport
milk purchase,Groceries
amazon order 132,Shopping
pharmacy payment,Health
wifi payment 2751,Utilities
interest income expense,Income
refund received 4561,Income
wifi payment payment,Utilities
vegetable market 997,Groceries
ration store,Groceries
vegetable market transaction,Groceries
vegetable market expense,Groceries
flight ticket transaction,Travel
online shopping,Shopping
snacks 2166,Food
netflix subscription,Entertainment
street food,Food
gas station,Transport
mall shopping transaction,Shopping
milk purchase transaction,Groceries
tour booking,Travel
new shoes transaction,Shopping
street food transaction,Food
game purchase payment,Entertainment
refund received payment,Income
vegetable market 3727,Groceries
concert ticket 1950,Entertainment
freelance payment payment,Income
electricity bill payment,Utilities
electronics purchase expense,Shopping
flipkart order,Shopping
cashback received 3697,Income
tea,Food
medicine purchase,Health
electronics purchase transaction,Shopping
electronics purchase,Shopping
interest income payment,Income
wifi payment 2606,Utilities
vegetable market payment,Groceries
diesel,Transport
diesel 2297,Transport
mall shopping,Shopping
ration store payment,Groceries
refund received,Income
movie ticket expense,Entertainment
metro ticket expense,Transport
tour booking,Travel
spotify premium 1619,Entertainment
movie ticket payment,Entertainment
vegetable market,Groceries
refund received,Income
gas bill,Utilities
grocery shopping,Groceries
salary credited,Income
ration store,Groceries
dinner payment,Food
medical bill expense,Health
spotify premium transaction,Entertainment
freelance payment expense,Income
ola cab 1590,Transport
taxi fare,Transport
concert ticket expense,Entertainment
electricity bill,Utilities
medical bill transaction,Health
street food,Food
internet bill 3681,Utilities
milk purchase,Groceries
gas station,Transport
vegetable market 503,Groceries
train ticket transaction,Transport
restaurant meal,Food
new shoes,Shopping
burger transaction,Food
lunch expense,Food
water bill transaction,Utilities
tea,Food
game purchase 171,Entertainment
mall shopping 4671,Shopping
restaurant meal,Food
hotel booking payment,Travel
lunch 2729,Food
auto rickshaw,Transport
wifi payment transaction,Utilities
coffee,Food
spotify premium 2946,Entertainment
new shoes expense,Shopping
milk purchase transaction,Groceries
cinema,Entertainment
spotify premium payment,Entertainment
breakfast,Food
trip expense,Travel
flight ticket,Travel
shopping expense,Shopping
cinema,Entertainment
hotel booking expense,Travel
netflix subscription 339,Entertainment
dinner 992,Food
hospital visit expense,Health
hospital visit payment,Health
wifi payment transaction,Utilities
coffee,Food
concert ticket,Entertainment
flipkart order,Shopping
netflix subscription,Entertainment
cashback received expense,Income
coffee,Food
electronics purchase 1330,Shopping
swiggy order payment,Food
wifi payment expense,Utilities
pizza payment,Food
health checkup,Health
water bill,Utilities
water bill,Utilities
pizza payment,Food
cinema,Entertainment
metro ticket payment,Transport
diesel 1498,Transport
daily groceries,Groceries
pharmacy,Health
concert ticket,Entertainment
dinner payment,Food
medicine purchase 3717,Health
cinema expense,Entertainment
shopping,Shopping
ration store expense,Groceries
medical bill payment,Health
breakfast expense,Food
petrol transaction,Transport
diesel 1547,Transport
bonus received payment,Income
supermarket transaction,Groceries
burger payment,Food
mobile recharge payment,Utilities
breakfast transaction,Food
tea,Food
hotel booking 4368,Travel
spotify premium expense,Entertainment
ration store transaction,Groceries
trip expense payment,Travel
vegetable market payment,Groceries
gas station 1696,Transport
supermarket transaction,Groceries
movie ticket 1583,Entertainment
movie ticket expense,Entertainment
metro ticket 4175,Transport
movie ticket transaction,Entertainment
daily groceries transaction,Groceries
supermarket,Groceries
hotel booking expense,Travel
medicine purchase payment,Health
online shopping,Shopping
snacks,Food
electronics purchase transaction,Shopping
coffee,Food
wifi payment expense,Utilities
medicine purchase,Health
cinema payment,Entertainment
trip expense,Travel
pharmacy transaction,Health
bus ticket payment,Transport
internet bill transaction,Utilities
hospital visit,Health
daily groceries transaction,Groceries
grocery shopping 1589,Groceries
breakfast,Food
shopping expense,Shopping
supermarket transaction,Groceries
medicine purchase payment,Health
medicine purchase,Health
breakfast payment,Food
internet bill,Utilities
gas station 933,Transport
train ticket payment,Transport
concert ticket expense,Entertainment
petrol payment,Transport
flight ticket 3174,Travel
restaurant meal 167,Food
interest income,Income
bonus received transaction,Income
wifi payment 3041,Utilities
hospital visit expense,Health
flipkart order 865,Shopping
petrol 3894,Transport
cashback received,Income
online shopping payment,Shopping
water bill,Utilities
milk purchase,Groceries
gas bill payment,Utilities
clothes purchase expense,Shopping
daily groceries,Groceries
concert ticket,Entertainment
movie ticket transaction,Entertainment
swiggy order payment,Food
water bill 1267,Utilities
medicine purchase expense,Health
zomato order transaction,Food
milk purchase payment,Groceries
burger,Food
gas bill transaction,Utilities
salary credited payment,Income
hotel booking,Travel
street food transaction,Food
water bill 2800,Utilities
pharmacy expense,Health
ola cab,Transport
mobile recharge,Utilities
diesel expense,Transport
daily groceries transaction,Groceries
electricity bill,Utilities
cinema,Entertainment
clothes purchase,Shopping
pharmacy expense,Health
salary credited,Income
breakfast transaction,Food
gas bill transaction,Utilities
restaurant meal,Food
hotel booking transaction,Travel
vegetable market payment,Groceries
milk purchase,Groceries
internet bill 2158,Utilities
gas station expense,Transport
salary credited payment,Income
water bill 2789,Utilities
burger,Food
metro ticket,Transport
hotel booking,Travel
spotify premium,Entertainment
petrol expense,Transport
new shoes,Shopping
mall shopping expense,Shopping
game purchase transaction,Entertainment
interest income,Income
gas bill 3620,Utilities
new shoes 2523,Shopping
amazon order,Shopping
uber ride,Transport
salary credited,Income
salary credited payment,Income
amazon order,Shopping
daily groceries transaction,Groceries
mobile recharge transaction,Utilities
vacation travel 2728,Travel
ration store 1771,Groceries
refund received,Income
flipkart order,Shopping
freelance payment transaction,Income
burger,Food
new shoes,Shopping
hotel booking,Travel
flight ticket 4488,Travel
movie ticket payment,Entertainment
flight ticket payment,Travel
tea 110,Food
swiggy order,Food
mall shopping transaction,Shopping
vegetable market 508,Groceries
amazon order 1261,Shopping
swiggy order expense,Food
uber ride expense,Transport
hotel booking 3169,Travel
electricity bill 3701,Utilities
bonus received 2475,Income
pizza,Food
electronics purchase,Shopping
mobile recharge expense,Utilities
netflix subscription,Entertainment
refund received transaction,Income
cinema expense,Entertainment
swiggy order 3324,Food
gas bill 2299,Utilities
freelance payment expense,Income
netflix subscription,Entertainment
medicine purchase 1304,Health
game purchase expense,Entertainment
new shoes payment,Shopping
milk purchase expense,Groceries
vacation travel 4967,Travel
ration store 641,Groceries
uber ride expense,Transport
water bill,Utilities
medical bill,Health
grocery shopping,Groceries
internet bill payment,Utilities
breakfast,Food
refund received,Income
pizza transaction,Food
gas bill,Utilities
milk purchase,Groceries
clothes purchase payment,Shopping
hospital visit expense,Health
hospital visit payment,Health
medicine purchase payment,Health
cinema expense,Entertainment
fuel refill payment,Transport
health checkup expense,Health
clothes purchase transaction,Shopping
grocery shopping,Groceries
flight ticket 564,Travel
fuel refill 2854,Transport
vegetable market 3905,Groceries
medicine purchase payment,Health
gas bill payment,Utilities
ration store transaction,Groceries
medical bill,Health
flight ticket,Travel
electricity bill transaction,Utilities
game purchase 1182,Entertainment
vegetable market expense,Groceries
supermarket payment,Groceries
game purchase expense,Entertainment
new shoes,Shopping
online shopping,Shopping
medicine purchase,Health
clothes purchase 1649,Shopping
internet bill,Utilities
gas bill,Utilities
trip expense,Travel
flight ticket 4406,Travel
tea expense,Food
auto rickshaw,Transport
fuel refill,Transport
flight ticket,Travel
doctor consultation expense,Health
internet bill expense,Utilities
diesel expense,Transport
medicine purchase transaction,Health
daily groceries expense,Groceries
hospital visit transaction,Health
online shopping 4475,Shopping
doctor consultation payment,Health
daily groceries,Groceries
internet bill payment,Utilities
flipkart order 3273,Shopping
vegetable market payment,Groceries
shopping 2070,Shopping
bonus received,Income
mobile recharge,Utilities
water bill payment,Utilities
interest income transaction,Income
electricity bill,Utilities
ration store payment,Groceries
movie ticket transaction,Entertainment
clothes purchase 903,Shopping
spotify premium transaction,Entertainment
breakfast,Food
zomato order transaction,Food
netflix subscription payment,Entertainment
supermarket,Groceries
train ticket transaction,Transport
internet bill 3917,Utilities
hospital visit,Health
online shopping expense,Shopping
flight ticket,Travel
resort stay transaction,Travel
netflix subscription,Entertainment
clothes purchase,Shopping
shopping expense,Shopping
doctor consultation 172,Health
vegetable market 89,Groceries
snacks transaction,Food
flipkart order,Shopping
interest income 2910,Income
vacation travel,Travel
food delivery transaction,Food
refund received payment,Income
interest income transaction,Income
food delivery,Food
snacks expense,Food
medicine purchase transaction,Health
ration store expense,Groceries
medicine purchase,Health
vacation travel,Travel
flipkart order payment,Shopping
daily groceries transaction,Groceries
cinema expense,Entertainment
health checkup payment,Health
medical bill 3283,Health
train ticket,Transport
online shopping payment,Shopping
new shoes transaction,Shopping
uber ride transaction,Transport
fuel refill transaction,Transport
clothes purchase,Shopping
milk purchase expense,Groceries
health checkup 1363,Health
refund received,Income
vacation travel transaction,Travel
netflix subscription,Entertainment
diesel 4072,Transport
uber ride,Transport
electricity bill 1522,Utilities
medical bill,Health
bonus received expense,Income
water bill 1997,Utilities
zomato order transaction,Food
dinner 1838,Food
gas station,Transport
bus ticket payment,Transport
trip expense payment,Travel
shopping,Shopping
metro ticket,Transport
electronics purchase 1547,Shopping
electronics purchase transaction,Shopping
medicine purchase,Health
mall shopping transaction,Shopping
metro ticket payment,Transport
vacation travel payment,Travel
medical bill transaction,Health
electronics purchase 3409,Shopping
milk purchase 600,Groceries
amazon order payment,Shopping
vegetable market payment,Groceries
train ticket expense,Transport
bonus received,Income
breakfast payment,Food
online shopping transaction,Shopping
ration store transaction,Groceries
daily groceries transaction,Groceries
diesel payment,Transport
electronics purchase,Shopping
cinema,Entertainment
pharmacy,Health
medical bill transaction,Health
street food transaction,Food
daily groceries 1369,Groceries
train ticket,Transport
electricity bill,Utilities
internet bill 4033,Utilities
electricity bill 2135,Utilities
fuel refill 3457,Transport
tour booking,Travel
trip expense 1477,Travel
doctor consultation 3070,Health
wifi payment transaction,Utilities
netflix subscription,Entertainment
game purchase payment,Entertainment
fuel refill,Transport
tour booking,Travel
clothes purchase transaction,Shopping
hotel booking transaction,Travel
resort stay transaction,Travel
auto rickshaw,Transport
auto rickshaw payment,Transport
zomato order payment,Food
ola cab 4858,Transport
mall shopping,Shopping
metro ticket,Transport
new shoes 3216,Shopping
gas station,Transport
wifi payment expense,Utilities
train ticket expense,Transport
food delivery payment,Food
wifi payment expense,Utilities
concert ticket expense,Entertainment
vegetable market expense,Groceries
train ticket,Transport
tour booking transaction,Travel
water bill payment,Utilities
fuel refill payment,Transport
health checkup transaction,Health
dinner payment,Food
resort stay payment,Travel
health checkup 4486,Health
doctor consultation payment,Health
metro ticket,Transport
cinema expense,Entertainment
game purchase 1442,Entertainment
dinner,Food
mobile recharge,Utilities
supermarket transaction,Groceries
resort stay payment,Travel
medical bill transaction,Health
vacation travel expense,Travel
gas bill,Utilities
auto rickshaw,Transport
refund received payment,Income
gas station payment,Transport
freelance payment expense,Income
metro ticket,Transport
refund received,Income
resort stay,Travel
gas bill,Utilities
salary credited,Income
train ticket,Transport
wifi payment expense,Utilities
diesel 3224,Transport
snacks,Food
pharmacy 2697,Health
electricity bill,Utilities
pizza transaction,Food
ola cab 4731,Transport
supermarket transaction,Groceries
vacation travel payment,Travel
health checkup expense,Health
refund received expense,Income
doctor consultation,Health
milk purchase,Groceries
vacation travel,Travel
doctor consultation,Health
game purchase expense,Entertainment
supermarket,Groceries
clothes purchase payment,Shopping
vegetable market payment,Groceries
grocery shopping 476,Groceries
pharmacy 2282,Health
cinema transaction,Entertainment
health checkup,Health
pharmacy payment,Health
resort stay transaction,Travel
electricity bill payment,Utilities
hotel booking,Travel
restaurant meal expense,Food
fuel refill,Transport
netflix subscription,Entertainment
medical bill expense,Health
medicine purchase,Health
petrol expense,Transport
mobile recharge,Utilities
medicine purchase 4396,Health
interest income 1033,Income
water bill,Utilities
internet bill,Utilities
burger payment,Food
hotel booking,Travel
electronics purchase payment,Shopping
interest income transaction,Income
supermarket expense,Groceries
netflix subscription 3051,Entertainment
pizza,Food
ration store 1272,Groceries
bonus received transaction,Income
mobile recharge transaction,Utilities
uber ride payment,Transport
online shopping,Shopping
ration store,Groceries
ration store,Groceries
amazon order,Shopping
gas station 4022,Transport
amazon order,Shopping
tour booking,Travel
wifi payment,Utilities
train ticket expense,Transport
new shoes transaction,Shopping
netflix subscription 4649,Entertainment
cinema payment,Entertainment
train ticket transaction,Transport
amazon order 976,Shopping
health checkup transaction,Health
vegetable market payment,Groceries
pizza,Food
tour booking,Travel
game purchase,Entertainment
wifi payment expense,Utilities
wifi payment payment,Utilities
salary credited,Income
fuel refill transaction,Transport
bus ticket,Transport
trip expense expense,Travel
gas station expense,Transport
breakfast transaction,Food
refund received transaction,Income
wifi payment,Utilities
cashback received payment,Income
electronics purchase 4923,Shopping
pharmacy 2948,Health
restaurant meal payment,Food
tour booking transaction,Travel
internet bill 4373,Utilities
cinema expense,Entertainment
lunch,Food
daily groceries 504,Groceries
health checkup payment,Health
mobile recharge,Utilities
auto rickshaw 354,Transport
electricity bill expense,Utilities
metro ticket,Transport
bus ticket expense,Transport
pharmacy payment,Health
clothes purchase expense,Shopping
bus ticket transaction,Transport
clothes purchase transaction,Shopping
cinema payment,Entertainment
